respondent_id,persona_label,Q1_age,Q2_gender,Q3_state,Q4_location,Q5_income,Q6_edu_level,Q7_stream,Q8_board,Q9_academic_perf,Q10_career_clarity,Q11_challenges,Q12_past_guidance,Q13_guidance_satisfaction,Q14_decision_urgency,Q15_subject_interests,Q16_career_domain,Q17_learning_style,Q18_top_skills,Q19_influencers,Q20_who_pays,Q21_career_factors,Q22_past_spending,Q23_info_sources,Q24_missing_gap,Q25_psych_fear_wrong_choice,Q25_psych_prefer_independent,Q25_psych_financial_over_passion,Q25_psych_risk_tolerance,Q25_psych_long_term_thinking,Q26_feature_prefs,Q27_tradeoff_wtp,Q28_monthly_wtp,Q29_onetime_wtp,Q30_primary_source,Q31_platform_adoption,wtp_monthly_numeric,urgency_score,income_numeric,clarity_score,psycho_composite
R0041,Anxious Achiever,18-20,Male,Gujarat,Metro city,Above Rs20L,Class 10,Science PCB,CBSE,80-90%,Mostly clear,Dont know exams needed|Unaware of emerging careers,Private counsellor (paid),1 - Very dissatisfied,3-6 months,Agriculture Environment|Business Finance Economics,Defence and Public Service|Emerging fields|Medicine and Healthcare,Gamified learning|Live classes,Empathy interpersonal skills|Not sure yet,Online influencers / social media,I decide - parents pay,High earning potential|Job security and stability|Scope for growth,Online courses / certifications,Social media,Open text response,5,3,4,2,5,1-on-1 mentorship|AI chatbot 24/7|Psychometric tests,1-on-1 professional session,Rs300-499/mo,Yes up to Rs499,Online career platform,Definitely would use,400,2,2500000.0,2,3.8
R0042,Curious Explorer,Under 15,Male,Maharashtra,Tier-3 city,Rs2-5L,Class 11,Science PCM,State Board,60-70%,Just exploring,Fear of wrong choice,Family/friends only,2 - Dissatisfied,Within 3 months,Government Policy|Mathematics Statistics,Law and Civil Services|Technology and Engineering,Gamified learning,Empathy interpersonal skills,Extended family|Parents / guardians,I decide - parents pay,Help society|Scope for growth|Work-life balance,Nothing - never paid|Private career counsellor session,Coaching institutes,Open text response,3,5,3,4,3,Salary and job demand dashboard,Exam study plan,Above Rs1000/mo,Yes above Rs999,Family / relatives,Unlikely to use,1926,1,350000.0,3,3.6
R0043,Focused Climber,18-20,Female,Haryana,Metro city,Above Rs20L,UG 2nd year+,Commerce with Maths,ICSE / ISC,Above 90%,Mostly clear,Dont know exams needed|Fear of wrong choice,Family/friends only,5 - Very satisfied,3-6 months,Business Finance Economics,Business Finance Entrepreneurship|Defence and Public Service|Technology and Engineering,Live classes|Watching videos,Communication public speaking|Mathematical ability|Not sure yet,Extended family|Parents / guardians,I decide - parents pay,Help society|Social status / prestige|Work-life balance,Online courses / certifications,I dont search - feel lost|Parents / family,Open text response,2,4,4,5,5,1-on-1 mentorship|Scholarship finder,1-on-1 professional session,Rs500-999/mo,No - would not pay,Online career platform,Neutral,750,2,2500000.0,2,4.0
R0044,Anxious Achiever,21-23,Female,West Bengal,Tier-3 city,Rs5-10L,Class 12,Science PCM,CBSE,80-90%,Mostly clear,Fear of wrong choice|Too many options,Never received guidance,1 - Very dissatisfied,3-6 months,Literature Languages|Mathematics Statistics|Science Physics Chemistry Biology,Technology and Engineering,Peer discussions|Reading articles/books,Empathy interpersonal skills|Leadership teamwork|Mathematical ability,Extended family|Parents / guardians,Parents decide and pay,Location flexibility,Nothing - never paid,Social media|Teachers / school,Open text response,5,3,4,3,4,AI chatbot 24/7|Salary and job demand dashboard,Detailed career report,Up to Rs99/mo,No - would not pay,Family / relatives,Definitely would use,70,2,750000.0,2,3.8
R0045,Curious Explorer,15-17,Male,Andhra Pradesh,Metro city,Above Rs20L,Class 9 or below,Commerce without Maths,CBSE,,Very confused,Dont know my strengths|No access to mentors,Private counsellor (paid),4 - Satisfied,1-2 years,Design Art Media|Law Social Sciences,Business Finance Entrepreneurship|Medicine and Healthcare|Social Work Development,Hands-on projects|Peer discussions|Watching videos,Not sure yet|Research writing,No one - still figuring out,I decide and pay myself,Help society|High earning potential,Coaching classes (JEE NEET etc),Career apps / websites|Google / web search|Social media,Open text response,3,4,2,5,2,1-on-1 mentorship|AI chatbot 24/7,1-on-1 professional session,Up to Rs99/mo,Yes up to Rs999,Online career platform,Likely would use,70,4,2500000.0,5,3.2
R0046,Curious Explorer,15-17,Female,Kerala,Metro city,Rs2-5L,Class 10,Science PCM,CBSE,Above 90%,Just exploring,Family pressure,Family/friends only,3 - Neutral,1-2 years,Design Art Media,Education and Research|Law and Civil Services|Technology and Engineering,Live classes,Mathematical ability,No one - still figuring out|Teachers / counsellors,I decide and pay myself,Job security and stability,Nothing - never paid,I dont search - feel lost,Open text response,3,4,3,3,3,1-on-1 mentorship|Psychometric tests,Would not spend Rs499,Up to Rs99/mo,Yes up to Rs199,Online career platform,Likely would use,70,4,350000.0,3,3.2
R0047,Anxious Achiever,21-23,Male,Telangana,Metro city,Rs2-5L,Class 12,Commerce with Maths,State Board,Not applicable,Mostly clear,Family pressure,Online platform,3 - Neutral,1-2 years,Business Finance Economics|Law Social Sciences|Mathematics Statistics,Business Finance Entrepreneurship|Medicine and Healthcare,Peer discussions|Reading articles/books,Leadership teamwork|Research writing,Parents / guardians|Teachers / counsellors,I decide - parents pay,Job security and stability|Scope for growth,Online courses / certifications,Career apps / websites|Coaching institutes|Social media,Open text response,4,2,3,3,4,College and exam recommender|Scholarship finder,Detailed career report,Nothing - free only,Yes up to Rs499,Social media,Definitely would use,0,4,350000.0,2,3.2
R0048,Confused Drifter,15-17,Male,Uttar Pradesh,Rural / Village,Rs2-5L,Class 11,Science PCB,Other,60-70%,Very confused,Too many options,Never received guidance,1 - Very dissatisfied,1-2 years,Design Art Media|Medicine Healthcare,Education and Research,Peer discussions|Reading articles/books|Watching videos,Analytical logical thinking|Empathy interpersonal skills,Online influencers / social media|Teachers / counsellors,Joint decision,Personal passion,Nothing - never paid|Online courses / certifications,Teachers / school,Open text response,4,3,3,2,3,College and exam recommender|Peer community forums|Scholarship finder,3mo platform access,Rs300-499/mo,No - would not pay,Family / relatives,Unlikely to use,400,4,350000.0,5,3.0
R0049,Focused Climber,18-20,Male,Chhattisgarh,Metro city,Rs2-5L,Class 12,Science PCB,State Board,Above 90%,Just exploring,Financial constraints|Unaware of emerging careers,Family/friends only,3 - Neutral,Within 3 months,Literature Languages|Medicine Healthcare|Science Physics Chemistry Biology,Medicine and Healthcare|Technology and Engineering,Hands-on projects|Live classes,Not sure yet,No one - still figuring out|Parents / guardians,I decide - parents pay,Job security and stability|Personal passion|Social status / prestige,Study materials / books,Social media,Open text response,2,5,4,4,5,College and exam recommender|Personalised roadmap,1-on-1 professional session,Nothing - free only,Yes above Rs999,Coaching institute,Definitely would use,0,1,350000.0,3,4.0
R0050,Confused Drifter,15-17,Male,Punjab,Tier-3 city,Below Rs2L,Class 10,Commerce with Maths,State Board,80-90%,Mostly clear,Dont know exams needed|Too many options,Never received guidance,2 - Dissatisfied,3-6 months,Business Finance Economics|Literature Languages,Business Finance Entrepreneurship|Sports Fitness Wellness,Reading articles/books,Creative thinking design,Extended family|Parents / guardians,I decide and pay myself,High earning potential|Location flexibility|Scope for growth,Nothing - never paid,Parents / family|Teachers / school,Open text response,5,3,2,1,2,1-on-1 mentorship|College and exam recommender|Scholarship finder,3mo platform access,Rs100-299/mo,Yes above Rs999,Family / relatives,Neutral,200,2,100000.0,2,2.6
R0051,Confused Drifter,15-17,Male,Tamil Nadu,Metro city,Rs2-5L,Class 10,Science PCB,State Board,60-70%,Very confused,Dont know my strengths|Unaware of emerging careers,Family/friends only,3 - Neutral,1-2 years,Business Finance Economics,Education and Research|Medicine and Healthcare,Hands-on projects,Creative thinking design|Research writing|Technical coding skills,No one - still figuring out,I decide - parents pay,Help society|Location flexibility,Coaching classes (JEE NEET etc),Social media,Open text response,5,4,3,2,3,College and exam recommender,3mo platform access,Rs300-499/mo,No - would not pay,YouTube,Neutral,400,4,350000.0,5,3.4
R0052,Confused Drifter,15-17,Male,Jharkhand,Tier-2 city,Rs2-5L,PG / Other,Science PCM,IB,70-80%,Very confused,Family pressure|Unaware of emerging careers,Family/friends only,3 - Neutral,1-2 years,Business Finance Economics|Science Physics Chemistry Biology,Business Finance Entrepreneurship|Technology and Engineering,Watching videos,Analytical logical thinking|Creative thinking design,No one - still figuring out|Teachers / counsellors,Joint decision,Location flexibility|Scope for growth,Nothing - never paid,Social media,Open text response,5,3,3,3,3,AI chatbot 24/7,3mo platform access,Rs300-499/mo,Yes up to Rs499,Family / relatives,Likely would use,400,4,350000.0,5,3.4
R0053,Curious Explorer,Under 15,Male,Kerala,Tier-3 city,Rs2-5L,Class 11,Commerce with Maths,State Board,70-80%,Just exploring,Family pressure|Fear of wrong choice,School counsellor (free),2 - Dissatisfied,1-2 years,Business Finance Economics|Medicine Healthcare,Business Finance Entrepreneurship|Defence and Public Service,Hands-on projects|Reading articles/books,Creative thinking design|Not sure yet|Research writing,Myself - independent|Teachers / counsellors,Joint decision,High earning potential,Online courses / certifications,Career apps / websites|Parents / family|Teachers / school,Open text response,2,4,2,4,3,Psychometric tests|Scholarship finder,1-on-1 professional session,Nothing - free only,Yes up to Rs999,Family / relatives,Neutral,0,4,350000.0,3,3.0
R0054,Focused Climber,15-17,Male,Rajasthan,Tier-3 city,Rs5-10L,UG 2nd year+,Commerce with Maths,CBSE,80-90%,Completely clear,Financial constraints,Private counsellor (paid),3 - Neutral,6-12 months,Business Finance Economics|Mathematics Statistics,Business Finance Entrepreneurship|Defence and Public Service|Medicine and Healthcare,Gamified learning|Hands-on projects,Analytical logical thinking|Empathy interpersonal skills|Technical coding skills,Extended family|Friends / peers,I decide and pay myself,Job security and stability|Social status / prestige|Work-life balance,Online courses / certifications|Private career counsellor session,YouTube,Open text response,3,3,3,4,5,AI chatbot 24/7|College and exam recommender|Salary and job demand dashboard,Would not spend Rs499,Rs100-299/mo,Yes up to Rs999,Online career platform,Likely would use,200,3,750000.0,1,3.6
R0055,Focused Climber,24 or above,Male,West Bengal,Metro city,Rs5-10L,PG / Other,Science PCB,CBSE,70-80%,Mostly clear,No access to mentors|Unaware of emerging careers,Online platform,5 - Very satisfied,3-6 months,Literature Languages|Science Physics Chemistry Biology,Medicine and Healthcare|Social Work Development,Live classes,Leadership teamwork|Mathematical ability|Research writing,Extended family|Online influencers / social media,Parents decide and pay,Job security and stability|Location flexibility,Test prep apps / subscriptions,Parents / family,Open text response,3,4,4,3,4,1-on-1 mentorship|Personalised roadmap,1-on-1 professional session,Up to Rs99/mo,Yes up to Rs999,Online career platform,Definitely would use,70,2,750000.0,2,3.6
R0056,Curious Explorer,15-17,Female,Gujarat,Tier-2 city,,Class 10,Not decided,State Board,Above 90%,Somewhat confused,Too many options,Online platform,2 - Dissatisfied,1-2 years,Agriculture Environment,Technology and Engineering,Hands-on projects|Live classes|Peer discussions,Communication public speaking,Online influencers / social media|Teachers / counsellors,I decide - parents pay,High earning potential|Job security and stability|Scope for growth,Private career counsellor session,Social media|Teachers / school,Open text response,4,4,1,3,2,College and exam recommender|Salary and job demand dashboard,Detailed career report,Rs300-499/mo,Yes up to Rs499,Social media,Neutral,400,4,,4,2.8
R0057,Anxious Achiever,18-20,Female,Karnataka,Metro city,Rs5-10L,Class 10,Science PCM,State Board,60-70%,Somewhat confused,Dont know my strengths|Fear of wrong choice,School counsellor (free),5 - Very satisfied,6-12 months,Mathematics Statistics|Technology Computers AI,Emerging fields|Technology and Engineering,Peer discussions,Not sure yet,Teachers / counsellors,I decide - parents pay,Scope for growth,Test prep apps / subscriptions,Career apps / websites|Google / web search,Open text response,4,3,3,2,4,1-on-1 mentorship|Salary and job demand dashboard,1-on-1 professional session,Nothing - free only,Yes up to Rs199,YouTube,Likely would use,0,3,750000.0,4,3.2
R0058,Focused Climber,21-23,Non-binary / Other,Maharashtra,Tier-2 city,Rs2-5L,UG 1st year,Commerce without Maths,CBSE,80-90%,Mostly clear,Fear of wrong choice,Private counsellor (paid),5 - Very satisfied,3-6 months,Business Finance Economics|Design Art Media|Law Social Sciences,Emerging fields|Law and Civil Services,Live classes|Peer discussions,Analytical logical thinking|Creative thinking design|Research writing,Friends / peers|Myself - independent,I decide and pay myself,Scope for growth|Work-life balance,Study materials / books,Career apps / websites|Google / web search|I dont search - feel lost,Open text response,2,5,4,3,5,College and exam recommender|Personalised roadmap,Detailed career report,Nothing - free only,Yes above Rs999,Coaching institute,Definitely would use,0,2,350000.0,2,3.8
R0059,Confused Drifter,15-17,Male,Karnataka,Rural / Village,Rs2-5L,Class 10,Science PCM,CBSE,80-90%,Very confused,Dont know my strengths|No access to mentors,Family/friends only,4 - Satisfied,More than 2 years,Literature Languages|Mathematics Statistics,Business Finance Entrepreneurship|Medicine and Healthcare|Technology and Engineering,Reading articles/books,Creative thinking design|Leadership teamwork,No one - still figuring out|Parents / guardians,I decide - parents pay,Help society|Personal passion,Online courses / certifications,Coaching institutes|Social media,Open text response,4,3,4,2,3,Salary and job demand dashboard|Scholarship finder,Detailed career report,Nothing - free only,Yes up to Rs199,Google / web search,Unlikely to use,0,5,350000.0,5,3.2
R0060,Confused Drifter,Under 15,Male,Odisha,Tier-3 city,Rs5-10L,Class 12,Science PCM,State Board,80-90%,Just exploring,Dont know my strengths,Never received guidance,3 - Neutral,6-12 months,Mathematics Statistics,Medicine and Healthcare|Technology and Engineering,Hands-on projects|Reading articles/books|Watching videos,Leadership teamwork|Not sure yet|Technical coding skills,Parents / guardians,I decide - parents pay,High earning potential,Coaching classes (JEE NEET etc),Teachers / school,Open text response,5,2,3,2,3,1-on-1 mentorship|Peer community forums|Salary and job demand dashboard,3mo platform access,Nothing - free only,No - would not pay,Family / relatives,Neutral,0,3,750000.0,3,3.0
R0061,Focused Climber,18-20,Male,Tamil Nadu,Metro city,Rs10-20L,UG 2nd year+,Commerce with Maths,CBSE,70-80%,Somewhat confused,Too many options|Unaware of emerging careers,Family/friends only,4 - Satisfied,1-2 years,Business Finance Economics|Mathematics Statistics,Creative Arts Media Design|Medicine and Healthcare|Sports Fitness Wellness,Reading articles/books|Watching videos,Leadership teamwork|Mathematical ability|Not sure yet,No one - still figuring out|Teachers / counsellors,Parents decide and pay,Help society|Job security and stability,Nothing - never paid,I dont search - feel lost|Teachers / school,Open text response,1,5,4,3,4,AI chatbot 24/7|College and exam recommender,Exam study plan,Rs500-999/mo,Yes up to Rs999,School teacher/counsellor,Definitely would NOT use,750,4,1500000.0,4,3.4
